행정동코드,읍면동명,거래수,년,평균거래금액,지니계수_거래금액,평균평당거래금액,지니계수_평당거래금액
1111053000,사직동,8,2024,171312.5,0.061,4337.5,0.035
1111056000,평창동,8,2024,92943.8,0.324,2616.1,0.106
1111057000,무악동,16,2024,115054.4,0.16,4825.1,0.115
1111058000,교남동,16,2024,160431.2,0.147,7642.7,0.091
1111061500,종로1.2.3.4가동,2,2024,39700.0,0.01,2984.3,0.01
1111065000,혜화동,8,2024,102987.5,0.144,4114.6,0.12
1111067000,창신제1동,15,2024,62590.0,0.092,3349.4,0.119
1111070000,숭인제1동,16,2024,62081.2,0.329,3304.1,0.15
1114052000,소공동,6,2024,39050.0,0.092,5326.6,0.065
1114054000,회현동,3,2024,157500.0,0.298,3991.5,0.158
1114057000,필동,10,2024,45590.0,0.189,3244.9,0.089
1114058000,장충동,1,2024,140000.0,0.0,2965.4,0.0
1114059000,광희동,8,2024,42362.5,0.16,3383.3,0.205
1114060500,을지로동,1,2024,99000.0,0.0,6548.0,0.0
1114061500,신당동,96,2024,107399.0,0.159,4620.0,0.088
1114067000,황학동,24,2024,75720.8,0.235,3854.2,0.077
1114068000,중림동,29,2024,139255.2,0.069,6377.3,0.073
1117051000,후암동,2,2024,86000.0,0.052,3390.9,0.041
1117052000,용산2가동,1,2024,95500.0,0.0,4025.5,0.0
1117053000,남영동,2,2024,245000.0,0.092,4518.4,0.009
1117056000,원효로제1동,10,2024,97590.0,0.367,5697.0,0.101
1117057000,원효로제2동,15,2024,150520.0,0.283,5049.8,0.138
1117058000,효창동,20,2024,134125.0,0.098,6340.2,0.124
1117059000,용문동,12,2024,121100.0,0.081,4919.8,0.081
1117062500,한강로동,17,2024,234941.2,0.168,7505.5,0.123
1117063000,이촌제1동,113,2024,229357.9,0.229,7805.4,0.133
1117065000,이태원제1동,12,2024,245033.3,0.099,6169.9,0.033
1117068500,한남동,18,2024,634527.8,0.39,11723.2,0.23
1117069000,서빙고동,7,2024,288714.3,0.177,6648.4,0.124
1117070000,보광동,2,2024,237000.0,0.006,9225.5,0.006
1120053500,왕십리도선동,143,2024,124973.1,0.135,5438.7,0.124
1120054000,마장동,27,2024,89355.6,0.113,4385.7,0.081
1120055000,사근동,141,2024,114817.0,0.135,5143.1,0.123
1120058000,응봉동,38,2024,106973.7,0.128,4741.8,0.092
1120059000,금호1가동,49,2024,127220.4,0.12,5898.4,0.124
1120061500,금호2.3가동,70,2024,124495.7,0.086,6073.7,0.089
1120062000,금호4가동,61,2024,135859.0,0.104,6388.2,0.094
1120064500,옥수동,119,2024,158797.1,0.124,6848.5,0.113
1120065000,성수1가제1동,46,2024,249330.4,0.403,8719.4,0.204
1120067000,성수2가제1동,18,2024,162750.0,0.158,5805.7,0.125
1120072000,송정동,1,2024,100000.0,0.0,3890.7,0.0
1121571000,화양동,20,2024,27345.8,0.388,3359.8,0.131
1121574000,중곡제1동,7,2024,55671.4,0.102,2578.0,0.062
1121581000,광장동,102,2024,138776.5,0.161,5457.0,0.078
1121584700,자양제4동,108,2024,126555.6,0.205,4967.9,0.088
1121585000,구의제1동,58,2024,118289.7,0.137,5107.3,0.113
1123053600,용신동,47,2024,86353.2,0.236,4403.2,0.117
1123054500,제기동,19,2024,70768.4,0.112,3278.2,0.07
1123060000,답십리제1동,172,2024,86779.3,0.201,4179.4,0.146
1123065000,장안제1동,97,2024,59313.4,0.298,2942.0,0.179
1123070500,청량리동,20,2024,86235.0,0.15,3001.2,0.115
1123071000,회기동,22,2024,40245.5,0.257,3211.6,0.07
1123072000,휘경제1동,62,2024,69361.3,0.189,3685.3,0.119
1123074000,이문제1동,59,2024,61167.8,0.204,3618.4,0.154
1126056500,면목본동,104,2024,69146.2,0.204,3268.3,0.143
1126058000,상봉제1동,57,2024,47846.5,0.342,3064.2,0.123
1126062000,묵제1동,61,2024,61745.2,0.173,2926.3,0.091
1126065500,망우본동,24,2024,51529.2,0.202,2508.3,0.09
1126068000,신내1동,128,2024,51758.6,0.151,2640.4,0.083
1129052500,성북동,2,2024,54250.0,0.016,3061.1,0.016
1129055500,삼선동,26,2024,80407.7,0.176,3720.8,0.092
1129057500,동선동,10,2024,64780.0,0.157,3421.8,0.15
1129060000,안암동,7,2024,53428.6,0.237,3019.5,0.223
1129061000,보문동,21,2024,88361.9,0.062,4536.8,0.084
1129062000,정릉제1동,429,2024,74712.0,0.157,3334.5,0.151
1129068500,길음제2동,68,2024,73591.2,0.107,3398.9,0.092
1129070500,종암동,62,2024,76496.8,0.103,3411.9,0.079
1129072500,월곡제2동,18,2024,62177.8,0.075,2960.9,0.071
1129076000,장위제1동,68,2024,86454.4,0.111,3986.2,0.087
1129081000,석관동,60,2024,71781.7,0.13,3399.5,0.122
1130553400,삼양동,144,2024,65297.2,0.111,2918.2,0.097
1130559500,번1동,33,2024,47889.4,0.138,2628.4,0.102
1130561500,수유1동,31,2024,44958.1,0.261,2379.7,0.133
1130564500,우이동,9,2024,47277.8,0.093,1884.8,0.075
1132051500,창제5동,172,2024,58992.7,0.194,3057.1,0.085
1132052100,도봉제1동,68,2024,48030.9,0.129,2220.9,0.071
1132068100,쌍문제4동,108,2024,42618.5,0.151,2174.5,0.087
1135059500,공릉1동,156,2024,56103.8,0.175,2960.5,0.084
1135061100,하계1동,80,2024,56240.0,0.197,3233.3,0.06
1135062500,중계2.3동,226,2024,67286.5,0.231,3158.7,0.083
1135066500,상계3.4동,395,2024,54769.6,0.161,3096.6,0.122
1138051000,녹번동,38,2024,81852.6,0.169,3854.4,0.149
1138052000,불광제1동,65,2024,70818.5,0.169,3446.8,0.131
1138055100,갈현제1동,13,2024,54976.9,0.11,2249.8,0.079
1138056000,구산동,19,2024,49226.3,0.117,2164.6,0.123
1138057000,대조동,25,2024,33896.0,0.279,3097.7,0.16
1138062500,역촌동,11,2024,57800.0,0.112,2462.1,0.134
1138063100,신사제1동,52,2024,52935.6,0.097,2666.2,0.122
1138064000,증산동,17,2024,77858.8,0.29,3836.1,0.234
1138065000,수색동,27,2024,87000.0,0.164,3911.1,0.161
1138069000,진관동,87,2024,85898.9,0.129,3454.9,0.093
1141052000,천연동,26,2024,92969.2,0.118,4305.1,0.081
1141055500,북아현동,90,2024,115691.1,0.153,5581.5,0.111
1141056500,충현동,8,2024,68425.0,0.183,3693.2,0.098
1141058500,신촌동,5,2024,54900.0,0.195,2246.0,0.066
1141061500,연희동,39,2024,64146.2,0.333,3290.6,0.118
1141065500,홍제제2동,84,2024,73576.7,0.158,3377.3,0.127
1141068500,홍은제2동,63,2024,68715.9,0.141,2829.3,0.139
1141069000,남가좌제1동,129,2024,95993.4,0.148,4291.3,0.097
1141071000,북가좌제1동,45,2024,96017.8,0.156,4009.3,0.126
1144055500,아현동,122,2024,145023.0,0.143,6516.7,0.117
1144056500,공덕동,104,2024,116690.1,0.109,4799.5,0.111
1144058500,도화동,5,2024,90800.0,0.143,4117.3,0.09
1144059000,용강동,97,2024,140847.9,0.152,6289.8,0.106
1144060000,대흥동,37,2024,143720.3,0.101,6425.8,0.124
1144061000,염리동,62,2024,127223.4,0.115,5882.5,0.098
1144063000,신수동,10,2024,151950.0,0.173,6397.4,0.093
